CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random
C18187,0,52,M,13683.16,SELF_EMP,>50,395,7,SA,1/26/2004,160,7,5,12,1,1,1,0,2,0,11300,632710,13080,381666,0,1038756,0,0,0,0,0,11300,632710,6540,381666,0,1,1,0.000613143
C2030,0,43,M,272607.05,PROF,41-45,164,24,CA,03-06-2002,183,4,4,8,2,1,0,1,0,1,8900,362780,0,0,171334,543014,0,0,0,0,0,8900,181390,0,0,171334,1,0,0.000628969
C3237,0,53,M,124500.74,SENP,>50,239,20,SA,08-06-2005,142,5,4,9,1,0,0,0,3,1,0,270160,18290,0,0,288450,0,0,0,0,1,0,270160,6096.67,0,0,1,1,0.00064842
C14530,0,43,F,66013.8,SENP,41-45,912,3,SA,9/30/2000,200,4,3,7,2,0,0,0,1,1,0,660120,0,0,0,660120,0,0,0,0,0,0,330060,0,0,0,1,1,0.00072272
C15395,1,30,M,25481.82,SELF_EMP,26-30,499,9,SA,4/16/2011,74,1,1,2,0,0,0,0,1,0,0,0,77670,0,0,77670,0,0,0,0,0,0,0,77670,0,0,1,0,0.000753211
C19185,0,46,M,1563443.12,SAL,46-50,525,9,SA,12/15/2000,198,14,6,20,2,1,1,0,2,1,5500,546350,17390,14201,0,583441,0,0,0,0,0,5500,273175,8695,14201,0,1,1,0.000756338
C1097,0,41,F,65208.82,SENP,41-45,472,21,SA,07-02-2008,107,6,3,9,2,0,1,0,0,1,0,476530,0,407286,0,883816,0,0,0,0,0,0,238265,0,407286,0,1,0,0.000784881
C2948,0,35,M,18939.94,SAL,31-35,280,26,SA,12-06-2013,42,5,4,9,2,0,2,0,0,1,0,685160,0,455802,0,1140962,0,0,0,0,0,0,342580,0,227901,0,1,0,0.000842531
C3975,0,47,F,1136890.47,SENP,46-50,723,11,SA,9/25/2006,128,9,5,14,2,1,1,0,1,1,2700,864840,0,943000,0,1810540,0,0,0,0,0,2700,432420,0,943000,0,1,1,0.000858209
C3734,0,32,M,830319.46,PROF,31-35,499,18,SA,9/21/2000,200,16,15,31,0,2,4,1,8,0,44100,0,844830,510764,52825,1452519,0,0,0,0,0,22050,0,105603.75,127691,52825,1,1,0.00087447
C16022,0,36,M,233344.83,SAL,36-40,597,4,SA,12-07-2014,30,18,14,32,3,2,4,1,4,0,11700,816290,341900,396774,2141,1568805,1,0,0,0,1,5850,272096.67,85475,99193.5,2141,1,0,0.000903809
C3692,0,41,M,435841.81,PROF,41-45,565,14,SA,03-02-2004,159,16,15,31,5,2,3,1,4,0,31300,723400,46350,537413,198996,1537459,0,0,0,0,0,15650,144680,11587.5,179137.67,198996,1,1,0.000954972
C18572,0,45,M,10762.54,SENP,41-45,199,5,SA,01-12-2002,185,12,6,18,2,1,1,0,2,1,19200,615490,36780,66048,0,737518,0,0,0,0,0,19200,307745,18390,66048,0,1,1,0.001022463
C19889,0,37,M,547116.54,PROF,36-40,236,7,SA,05-10-2007,121,8,6,14,1,1,0,0,4,0,9100,66570,25960,0,0,101630,0,0,0,0,0,9100,66570,6490,0,0,1,0,0.001057475
C7296,0,37,F,35350.88,SAL,36-40,330,26,SA,11/16/2008,103,5,1,6,1,0,0,0,0,0,0,621600,0,0,0,621600,0,0,0,0,0,0,621600,0,0,0,1,0,0.001108589
C14937,0,39,M,59282.02,SENP,36-40,281,6,SA,3/19/2007,122,6,5,11,2,1,1,0,1,0,7400,989280,0,111936,0,1108616,0,0,0,0,0,7400,494640,0,111936,0,1,0,0.001161803
C7464,0,39,F,1743832.48,SENP,36-40,202,18,CA,9/15/2007,117,9,9,18,3,1,0,1,4,0,7900,437620,15200,0,177483,638203,1,0,0,0,0,7900,145873.33,3800,0,177483,1,0,0.001186218
C9713,0,52,M,1002330.71,SAL,>50,155,11,CA,09-04-1999,213,58,23,81,2,3,7,1,10,0,62300,625570,865910,41285,65064,1660129,0,0,0,0,0,20766.67,312785,86591,5897.86,65064,1,1,0.001200289
C10749,0,38,F,161366.04,PROF,36-40,128,23,SA,08-08-1999,214,8,2,10,1,0,0,0,1,1,0,222040,33810,0,0,255850,0,0,0,0,0,0,222040,33810,0,0,0,0,0.001245236
C19852,1,31,O,14411.51,PROF,31-35,618,1,CA,4/24/2005,145,17,22,39,4,2,7,1,8,0,41600,636680,378500,93147,25651,1175578,0,0,0,0,0,20800,159170,47312.5,13306.71,25651,1,1,0.001268502
C4948,0,27,F,2532663.66,SENP,26-30,171,13,SA,1/19/2010,88,4,3,7,0,0,0,0,3,0,0,0,94560,0,0,94560,0,0,0,0,0,0,0,31520,0,0,1,0,0.001309697
C7814,0,45,M,1097597.16,SENP,41-45,765,16,SA,10/16/2000,200,8,5,13,1,1,1,0,2,0,2500,358350,58740,116717,0,536307,0,0,0,0,0,2500,358350,29370,116717,0,1,1,0.00137796
C6619,0,31,M,22259.73,SENP,31-35,476,25,SA,11-07-2004,151,4,1,5,1,0,0,0,0,0,0,254670,0,0,0,254670,0,0,0,0,0,0,254670,0,0,0,0,0,0.001480213
C7893,0,51,M,43917.05,SAL,>50,592,30,CA,10-03-2011,68,51,2,53,1,0,1,0,0,0,0,465750,0,373865,0,839615,0,0,0,0,0,0,465750,0,373865,0,1,0,0.001602399
C2029,0,54,M,3456.03,SAL,>50,483,10,SA,1/26/2010,88,13,7,20,3,1,1,0,2,0,3100,133190,19190,842341,0,997821,0,0,0,0,0,3100,44396.67,9595,842341,0,1,1,0.001620615
C19294,0,49,M,5670.82,PROF,46-50,178,5,SA,06-09-2009,96,2,2,4,0,0,0,0,2,0,0,0,31480,0,0,31480,0,0,0,0,0,0,0,15740,0,0,1,0,0.00165164
C2233,0,55,M,295709.23,SAL,>50,290,18,SA,1/19/2006,136,6,5,11,1,1,1,0,2,0,17900,774010,81670,340755,0,1214335,0,0,0,1,0,17900,774010,40835,340755,0,1,0,0.001757676
C13757,0,52,M,89630.23,PROF,>50,116,9,CA,9/22/2014,32,26,24,50,12,3,7,1,1,0,54900,850830,94570,976148,171636,2148084,0,0,0,0,0,18300,70902.5,94570,139449.71,171636,1,1,0.001762696
C7547,0,25,M,19646.14,SAL,<25,360,17,CA,6/21/2003,167,35,21,56,6,2,6,1,6,0,48400,660740,716480,154356,83531,1663507,0,0,0,0,0,24200,110123.33,119413.33,25726,83531,1,0,0.001762726
C11633,0,54,M,117148.71,SENP,>50,215,25,SA,8/23/2007,117,12,3,15,0,1,1,1,0,0,8500,0,0,500020,65889,574409,0,0,0,0,0,8500,0,0,500020,65889,1,1,0.001796447
C19771,0,42,M,185755.52,SENP,41-45,480,2,SA,4/19/2006,133,6,5,11,1,1,1,0,2,1,2100,777200,26220,950359,0,1755879,0,0,0,0,0,2100,777200,13110,950359,0,1,0,0.001872491
C16418,1,53,M,34474.55,SELF_EMP,>50,809,1,SA,11-05-2012,55,8,6,14,2,1,1,0,2,1,4700,756420,41810,840291,0,1643221,0,0,0,0,0,4700,378210,20905,840291,0,1,0,0.001885036
C8855,0,22,F,658891.83,PROF,<25,513,16,CA,06-09-2002,180,6,6,12,2,1,1,0,2,0,19400,90780,17000,647549,0,774729,0,0,0,1,0,19400,45390,8500,647549,0,1,0,0.001889492
C8239,0,21,M,991845.61,PROF,<25,194,21,SA,10-06-1999,212,2,4,6,2,0,1,1,0,0,0,728020,0,702871,69321,1500212,0,0,0,0,0,0,364010,0,702871,69321,0,1,0.001926288
C1113,0,25,M,880516.16,PROF,<25,609,23,SA,01-06-1999,221,2,3,5,1,0,2,0,0,1,0,413070,0,928219,0,1341289,0,0,0,0,0,0,413070,0,464109.5,0,1,0,0.001976228
C1979,0,41,F,285794.82,SAL,41-45,106,21,SA,1/16/2002,185,14,3,17,2,0,0,0,1,0,0,834530,74540,0,0,909070,0,0,0,0,0,0,417265,74540,0,0,1,1,0.001997416
C3098,0,54,M,1036410.61,SENP,>50,236,15,CA,11/27/2011,66,42,17,59,6,2,0,1,8,0,10700,586260,625310,0,125805,1348075,0,0,0,0,1,5350,97710,78163.75,0,125805,1,1,0.002235501
C6234,0,45,M,733690.7,SENP,41-45,314,24,CA,04-09-2013,50,16,2,18,1,0,1,0,0,0,0,892900,0,139146,0,1032046,0,0,0,0,0,0,892900,0,139146,0,1,0,0.002240937
C16183,0,31,M,9059.48,SENP,31-35,234,7,SA,4/21/2003,169,6,4,10,0,0,0,0,4,1,0,0,45620,0,0,45620,0,0,0,0,0,0,0,11405,0,0,1,0,0.0022473
C13607,1,51,M,1366564.05,PROF,>50,796,13,SA,03-05-2006,135,4,3,7,1,0,0,0,2,1,0,789120,80510,0,0,869630,0,0,0,0,0,0,789120,40255,0,0,1,1,0.002284925
C16838,1,35,M,157722.82,PROF,31-35,720,7,CA,01-07-2001,197,67,66,133,0,10,20,24,12,1,101300,0,4471280,345457,142402,5060439,1,70,0,0,0,10130,0,372606.67,17272.85,5933.42,0,0,0.002303781
C9319,0,40,M,277463.26,SAL,36-40,178,17,SA,8/17/2005,142,8,5,13,2,1,1,0,1,0,4200,938710,0,831551,0,1774461,0,0,0,0,0,4200,469355,0,831551,0,1,1,0.002310912
C5691,0,30,F,588239.97,SAL,26-30,310,11,SA,04-01-2009,98,7,5,12,0,1,0,0,4,0,10800,0,31120,0,0,41920,0,0,0,0,0,10800,0,7780,0,0,1,1,0.002360954
C11309,0,30,F,140228.35,SENP,26-30,361,29,SA,09-11-2005,141,2,2,4,1,1,0,0,0,0,1900,362530,0,0,0,364430,0,0,0,0,0,1900,362530,0,0,0,0,1,0.002481182
C3181,0,34,M,22196.98,SELF_EMP,31-35,302,11,SA,06-03-2008,108,11,6,17,2,1,1,0,2,0,16900,992890,91830,671588,0,1773208,0,0,0,0,0,16900,496445,45915,671588,0,1,1,0.002497164
C9346,0,36,M,17003.58,SELF_EMP,36-40,135,11,SA,12/14/2012,54,2,2,4,1,0,0,0,1,1,0,191010,0,0,0,191010,0,0,0,0,0,0,191010,0,0,0,1,1,0.002524504
C13763,0,44,M,13047.59,SAL,41-45,436,9,CA,04-12-2012,62,52,21,73,8,2,6,1,4,0,48100,128100,562570,467113,66731,1272614,0,0,0,0,0,24050,16012.5,140642.5,77852.17,66731,0,1,0.002535767
C62,0,40,F,884660.18,SENP,36-40,319,22,SA,5/26/2003,168,7,2,9,0,1,1,0,0,0,10500,0,0,847980,0,858480,0,0,0,0,0,10500,0,0,847980,0,1,1,0.002606406
C15901,0,37,M,25232.58,PROF,36-40,425,7,SA,8/23/2006,129,12,6,18,1,1,0,0,4,1,3800,927280,77220,0,0,1008300,0,0,0,0,0,3800,927280,19305,0,0,1,1,0.002696825
C9420,0,46,M,274321,PROF,46-50,610,20,SA,9/20/2005,140,10,5,15,1,1,1,0,2,1,17300,654110,87750,65956,0,825116,0,0,0,0,0,17300,654110,43875,65956,0,1,1,0.002749235
C9753,0,55,M,346999.44,SAL,>50,796,29,CA,11/16/2010,79,6,1,7,0,1,0,0,0,0,3100,0,0,0,0,3100,0,0,0,0,0,3100,0,0,0,0,1,0,0.002750004
C19621,0,43,M,244981.44,SAL,41-45,150,7,SA,11/23/2011,66,5,6,11,1,1,0,0,4,0,12200,424580,42190,0,0,478970,0,0,0,0,0,12200,424580,10547.5,0,0,1,1,0.002801714
C7526,0,31,M,343646.67,PROF,31-35,341,25,CA,7/27/2010,82,43,1,44,1,0,0,0,0,1,0,934960,0,0,0,934960,0,0,0,0,0,0,934960,0,0,0,1,0,0.002827729
C4837,0,33,F,432974.12,SENP,31-35,606,19,SA,8/20/2007,117,15,8,23,1,1,1,0,5,0,17300,603050,605170,586875,0,1812395,1,0,0,0,0,17300,603050,121034,586875,0,1,1,0.002835511
C13606,1,53,M,459113.32,SAL,>50,882,16,SA,4/17/2008,110,16,15,31,2,2,4,1,6,1,45500,258490,149900,15901,173379,643170,0,0,0,0,0,22750,129245,24983.33,3975.25,173379,1,1,0.002907254
C5622,0,49,M,149802.74,PROF,46-50,211,21,SA,3/16/2002,183,14,2,16,1,1,0,0,0,0,800,504650,0,0,0,505450,0,0,0,0,0,800,504650,0,0,0,1,1,0.002943464
C6961,0,53,M,656560.01,SELF_EMP,>50,227,17,SA,9/14/2009,93,6,5,11,0,1,0,0,4,0,5300,0,31350,0,0,36650,0,0,0,0,0,5300,0,7837.5,0,0,1,0,0.002945307
C15956,0,51,M,35472.44,PROF,>50,633,7,SA,10-01-2014,32,10,5,15,2,1,1,0,1,1,10600,691330,0,335723,0,1037653,0,0,0,0,0,10600,345665,0,335723,0,1,1,0.002966179
C1056,0,41,M,5359.8,SAL,41-45,325,31,SA,10/26/2003,163,7,1,8,0,0,1,0,0,0,0,0,0,597086,0,597086,0,0,0,0,0,0,0,0,597086,0,1,0,0.002994791
C17864,0,25,F,65352.69,SENP,<25,140,4,SA,08-01-2010,82,2,2,4,1,0,0,0,1,0,0,249050,0,0,0,249050,0,0,0,0,0,0,249050,0,0,0,1,0,0.003103295
C18014,0,36,M,41500.57,SAL,36-40,350,2,SA,4/25/1999,217,18,14,32,4,2,3,1,4,0,5200,912270,16930,318681,56834,1309915,0,0,0,0,0,2600,228067.5,4232.5,106227,56834,1,1,0.003174877
C8560,0,26,M,1156848.47,SAL,26-30,975,13,SA,5/13/2002,181,6,5,11,2,1,1,0,1,0,12000,594370,0,119221,0,725591,0,0,0,0,0,12000,297185,0,119221,0,1,0,0.003206592
C11411,0,43,M,53809.93,PROF,41-45,133,13,SA,02-06-2005,148,5,4,9,1,0,0,0,3,0,0,907400,54060,0,0,961460,0,0,0,0,0,0,907400,18020,0,0,1,0,0.003298137
C7313,0,26,M,9614.33,SAL,26-30,211,24,SA,03-08-2006,135,4,3,7,2,0,1,0,0,0,0,31560,0,523511,0,555071,0,0,0,0,0,0,15780,0,523511,0,1,1,0.003326029
C932,0,45,M,1316110.16,PROF,41-45,952,22,SA,7/21/2008,106,3,1,4,0,1,0,0,0,0,3300,0,0,0,0,3300,0,0,0,0,0,3300,0,0,0,0,1,0,0.003337379
C16165,0,21,F,1585087.83,SENP,<25,156,4,SA,3/16/2012,63,3,2,5,0,0,0,0,2,0,0,0,47970,0,0,47970,0,0,0,0,0,0,0,23985,0,0,1,1,0.003359452
C19537,1,53,F,5677834.48,SENP,>50,196,4,SA,08-03-2013,46,2,5,7,2,1,1,0,1,0,17500,512340,0,389787,0,919627,0,0,0,0,0,17500,256170,0,389787,0,1,1,0.003372545
C15628,0,24,F,1583866.05,SENP,<25,281,6,SA,1/22/2014,40,12,6,18,2,1,1,0,2,1,12100,557200,76950,604699,0,1250949,0,0,0,0,0,12100,278600,38475,604699,0,1,0,0.003417984
C17494,0,30,M,62991.56,PROF,26-30,939,1,SA,07-08-2002,179,6,5,11,1,1,1,0,2,0,7900,619300,52340,17768,0,697308,1,0,0,0,1,7900,619300,26170,17768,0,0,1,0.003580805
C14190,0,24,F,537015.73,SENP,<25,155,4,SA,05-06-2012,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003617118
C4288,0,36,M,696353.59,SELF_EMP,36-40,888,14,SA,12-03-2002,174,14,7,21,3,1,1,0,2,0,17400,872920,16210,324604,0,1231134,0,0,0,1,0,17400,290973.33,8105,324604,0,1,0,0.003622673
C7131,0,38,M,104992.52,SAL,36-40,171,14,SA,10-03-2011,68,2,1,3,1,0,0,0,0,0,0,352290,0,0,0,352290,0,0,0,0,0,0,352290,0,0,0,1,0,0.003623894
C17740,0,37,M,57179.94,SAL,36-40,573,9,SA,2/26/2002,183,7,6,13,2,1,1,0,2,1,13400,853070,14400,346839,0,1227709,0,0,0,0,0,13400,426535,7200,346839,0,1,1,0.003736202
C18426,0,47,F,793332.01,PROF,46-50,184,9,SA,04-02-2008,110,12,6,18,1,1,0,0,4,0,3300,238320,15200,0,0,256820,0,0,0,0,0,3300,238320,3800,0,0,0,1,0.003753391
C10339,0,27,M,37633.41,SAL,26-30,738,26,SA,4/13/2002,182,4,1,5,1,0,0,0,0,0,0,736500,0,0,0,736500,0,0,0,0,0,0,736500,0,0,0,1,1,0.003886294
C19368,0,25,M,486469.59,PROF,<25,140,9,SA,02-11-2000,208,14,8,22,2,1,1,0,4,0,2800,694830,28900,712131,0,1438661,0,0,0,0,0,2800,347415,7225,712131,0,1,0,0.00389019
C10984,0,26,M,233733.91,SENP,26-30,329,16,SA,04-03-2009,98,10,6,16,3,1,1,0,1,0,2100,848460,0,191234,0,1041794,0,0,0,0,1,2100,282820,0,191234,0,1,0,0.003938213
C2444,0,38,M,457782.18,SENP,36-40,251,18,SA,07-03-2003,167,10,6,16,1,1,0,0,4,0,19800,732860,33430,0,0,786090,0,0,0,0,0,19800,732860,8357.5,0,0,0,1,0.003950121
C9696,0,52,M,650244.39,SENP,>50,341,17,CA,12/16/1999,210,43,17,60,9,2,0,1,5,0,21300,724670,35240,0,9473,790683,0,0,0,0,0,10650,80518.89,7048,0,9473,1,1,0.004020176
C12984,1,46,M,483701.66,PROF,46-50,280,11,SA,08-06-2006,130,8,5,13,0,1,0,0,4,0,14200,0,11480,0,0,25680,0,0,0,0,0,14200,0,2870,0,0,1,1,0.004041002
C8306,0,30,M,439710.96,SELF_EMP,26-30,451,24,SA,07-09-2008,107,4,4,8,0,1,2,0,1,0,7900,0,13440,253050,0,274390,0,0,0,1,0,7900,0,13440,126525,0,1,0,0.004095057
C13594,1,26,M,112159.38,PROF,26-30,403,23,CA,08-07-2009,94,70,4,74,2,2,0,0,0,0,3200,451430,0,0,0,454630,1,0,0,0,0,1600,225715,0,0,0,1,1,0.004098293
C17085,0,54,M,70876.64,SAL,>50,138,5,SA,5/14/2001,193,6,6,12,1,1,0,0,4,0,1500,638970,65580,0,0,706050,0,0,0,0,0,1500,638970,16395,0,0,0,1,0.004098648
C15642,0,31,M,73645.31,SAL,31-35,479,9,SA,09-03-2010,81,8,6,14,2,1,1,0,2,1,5200,576750,73760,542895,0,1198605,0,0,0,0,0,5200,288375,36880,542895,0,1,1,0.004104526
C10973,0,47,M,330397.16,SAL,46-50,560,16,SA,07-01-2009,95,15,8,23,2,1,1,0,4,1,3800,619910,27180,232952,0,883842,0,0,0,1,0,3800,309955,6795,232952,0,1,1,0.00410617
C594,0,31,M,105693.29,SAL,31-35,562,18,SA,02-01-2013,52,8,6,14,3,1,1,0,1,0,800,816300,0,818397,0,1635497,0,0,0,1,0,800,272100,0,818397,0,1,1,0.004224287
C19721,0,38,M,62815.32,SAL,36-40,365,2,SA,8/24/1999,213,8,5,13,1,1,1,0,2,0,5200,939940,55350,182050,0,1182540,0,0,0,0,0,5200,939940,27675,182050,0,1,0,0.004232622
C18960,0,30,M,169074.25,SENP,26-30,681,1,CA,8/21/2002,177,14,17,31,6,2,0,1,8,0,10400,475180,87870,0,148838,722288,0,0,0,0,0,5200,79196.67,10983.75,0,148838,1,1,0.004238403
C1790,0,45,M,1288216.38,SENP,41-45,801,23,SA,02-11-2014,40,14,1,15,1,0,0,0,0,1,0,223340,0,0,0,223340,0,0,0,0,0,0,223340,0,0,0,1,0,0.004243128
C10769,0,26,M,198322.27,PROF,26-30,248,20,SA,11/19/2010,78,8,5,13,0,1,0,0,4,1,8800,0,98060,0,0,106860,0,0,0,0,0,8800,0,24515,0,0,1,1,0.004255955
C8210,0,42,M,1632079,SAL,41-45,105,27,SA,12/23/2002,173,20,1,21,0,1,0,0,0,0,6000,0,0,0,0,6000,0,0,0,0,0,6000,0,0,0,0,1,0,0.004284396
C8904,0,33,F,1050241.35,SENP,31-35,183,19,SA,10-05-2003,164,17,14,31,2,2,4,1,5,1,9900,327310,261550,438814,66069,1103643,0,0,0,1,0,4950,163655,52310,109703.5,66069,1,1,0.004337393
C15428,0,36,M,1419961.51,SELF_EMP,36-40,210,4,SA,02-03-2009,100,6,4,10,1,0,0,0,3,0,0,375970,16070,0,0,392040,0,0,0,0,0,0,375970,5356.67,0,0,1,0,0.004378251
C5830,0,26,F,477578.65,SELF_EMP,26-30,258,15,SA,1/25/2013,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.004407068
C218,0,38,F,3120315.7,SENP,36-40,194,22,SA,12-03-2004,150,4,4,8,2,1,1,0,0,0,3400,820,0,319836,0,324056,1,0,0,0,0,3400,410,0,319836,0,1,1,0.004457817
C8069,0,38,M,216124.48,SAL,36-40,429,18,SA,10/29/2008,103,12,6,18,2,1,1,0,2,0,100,433210,82400,26600,0,542310,0,0,0,0,0,100,216605,41200,26600,0,0,0,0.004506845
C6011,0,36,F,21600.79,SENP,36-40,895,10,SA,1/20/2010,88,10,5,15,2,1,1,0,1,1,7800,167820,0,174203,0,349823,1,0,0,0,1,7800,83910,0,174203,0,0,0,0.004524403
C6785,0,30,F,1024526.91,PROF,26-30,186,28,CA,1/14/2003,173,23,3,26,3,0,0,0,0,0,0,841420,0,0,0,841420,0,0,0,0,0,0,280473.33,0,0,0,0,1,0.00456266
C4208,0,42,F,13158.14,SELF_EMP,41-45,105,15,SA,02-08-2010,88,18,14,32,6,2,4,1,1,1,35400,198430,51490,326421,170332,782073,0,0,0,0,0,17700,33071.67,51490,81605.25,170332,1,1,0.004611131
C1912,0,34,M,101598.65,SAL,31-35,168,11,SA,11/15/2007,115,20,14,34,0,2,4,1,7,0,2200,0,346850,170678,58377,578105,0,0,0,0,0,1100,0,49550,42669.5,58377,0,1,0.004623246
C4753,0,30,F,140228.35,SENP,26-30,361,29,SA,09-11-2005,141,2,2,4,1,1,0,0,0,0,1900,362530,0,0,0,364430,0,0,0,0,0,1900,362530,0,0,0,0,1,0.004681274
C13683,1,43,M,44297.92,SENP,41-45,114,3,SA,04-12-2002,182,6,6,12,1,1,0,0,4,1,15700,292290,66289,0,0,374279,1,0,0,1,0,15700,292290,16572.25,0,0,1,1,0.004830587
C19204,0,25,M,1610175.31,PROF,<25,814,9,SA,02-01-2010,88,7,7,14,2,1,0,0,4,1,14800,226870,19590,0,0,261260,0,0,0,0,0,14800,113435,4897.5,0,0,0,1,0.004943633
C1147,0,34,M,935489.18,SAL,31-35,325,19,SA,6/24/2007,119,12,6,18,1,1,0,0,4,0,10600,837100,14590,0,0,862290,0,0,0,0,0,10600,837100,3647.5,0,0,1,0,0.00501124
C5242,0,46,F,1200478.93,PROF,46-50,567,19,SA,12/16/2014,30,5,4,9,2,0,0,0,2,0,0,230250,11460,0,0,241710,0,0,0,0,0,0,115125,5730,0,0,0,1,0.005088623
C16390,0,51,M,19701.96,SAL,>50,179,2,SA,7/30/2005,142,16,15,31,8,2,4,1,0,0,1000,357800,0,565132,84710,1008642,0,0,0,0,0,500,44725,0,141283,84710,1,0,0.005143526
C73,0,51,M,622546.52,SENP,>50,357,11,SA,03-01-2011,75,8,6,14,1,1,0,0,4,1,400,397380,74490,0,0,472270,0,0,0,0,0,400,397380,18622.5,0,0,1,0,0.005205986
C18998,0,43,F,3675.21,PROF,41-45,215,7,SA,5/18/2006,132,7,6,13,2,1,1,0,2,0,2600,730110,91860,432818,0,1257388,0,0,0,0,0,2600,365055,45930,432818,0,1,0,0.005223869
C9830,0,53,M,83666.06,SENP,>50,328,17,SA,12-01-2009,90,8,5,13,0,1,0,0,4,0,18500,0,78820,0,0,97320,0,0,0,0,0,18500,0,19705,0,0,1,1,0.005372959
C8405,0,39,M,9896.37,PROF,36-40,275,13,SA,12/25/2000,197,12,6,18,1,1,0,0,4,1,16000,716400,15920,0,0,748320,1,0,0,0,1,16000,716400,3980,0,0,1,0,0.005494635
